pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.020916,0.201248,0.065031,0.042618,0.215936,0.089618,0.031972,0.187478,0.098471,NaN,NaN,NaN
0.010471,0.208401,0.068354,0.035310,0.223617,0.095446,0.030875,0.189622,0.101167,NaN,NaN,NaN
0.002490,0.215930,0.079759,0.031588,0.224081,0.099085,0.026085,0.191053,0.102058,NaN,NaN,NaN
-0.009717,0.216631,0.094118,0.021268,0.225819,0.096087,0.022928,0.192352,0.103585,NaN,NaN,NaN
-0.016969,0.210526,0.105150,0.014911,0.221675,0.101261,0.018626,0.192784,0.103374,NaN,NaN,NaN
-0.017460,0.204111,0.119221,0.010590,0.220557,0.106397,0.016683,0.193375,0.105671,NaN,NaN,NaN
-0.013113,0.199347,0.127166,0.008279,0.218811,0.109881,0.015192,0.193930,0.104847,NaN,NaN,NaN
-0.006947,0.197421,0.126817,0.009747,0.220314,0.110611,0.013038,0.194566,0.104934,NaN,NaN,NaN
-0.005934,0.197040,0.120863,0.008372,0.221594,0.108315,0.010385,0.194930,0.104348,NaN,NaN,NaN
-0.003875,0.198623,0.109715,0.007015,0.223304,0.103526,0.008592,0.195691,0.104105,NaN,NaN,NaN
-0.000873,0.200144,0.094045,0.012408,0.224555,0.098907,0.007513,0.194860,0.099813,NaN,NaN,NaN
0.005542,0.200981,0.083321,NaN,NaN,NaN,0.007800,0.195813,0.098882,NaN,NaN,NaN
0.006821,0.200656,0.072386,0.016252,0.225084,0.095857,0.002430,0.193376,0.098196,NaN,NaN,NaN
0.000793,0.202811,0.068825,0.012568,0.224624,0.092832,0.001631,0.196650,0.100271,NaN,NaN,NaN
-0.008089,0.206167,0.068460,0.006378,0.226752,0.091123,-0.001825,0.196723,0.100692,NaN,NaN,NaN
-0.021275,0.214471,0.070778,-0.000538,0.230821,0.097020,-0.006032,0.197371,0.101696,NaN,NaN,NaN
-0.038330,0.220182,0.078500,-0.008380,0.232273,0.099233,-0.009556,0.200679,0.102235,NaN,NaN,NaN
-0.041650,0.225304,0.092828,-0.014331,0.233833,0.101940,-0.012510,0.202367,0.101575,NaN,NaN,NaN
-0.052350,0.218050,0.102005,-0.019492,0.231325,0.100539,-0.015211,0.202858,0.102129,NaN,NaN,NaN
-0.051050,0.212339,0.114994,-0.023983,0.229971,0.103325,-0.017144,0.203497,0.102721,NaN,NaN,NaN
-0.046548,0.208835,0.121161,-0.025336,0.229737,0.105552,-0.021160,0.202707,0.102886,NaN,NaN,NaN
-0.041856,0.209092,0.122254,-0.022247,0.231161,0.106761,-0.022885,0.204235,0.102673,NaN,NaN,NaN
-0.041571,0.209084,0.115854,-0.024605,0.232468,0.103984,-0.025350,0.204711,0.102336,NaN,NaN,NaN
-0.039115,0.209229,0.103386,-0.025218,0.233159,0.098566,-0.026987,0.205357,0.102405,NaN,NaN,NaN
-0.034224,0.211786,0.094447,-0.018965,0.232228,0.094839,-0.027522,0.204559,0.098871,NaN,NaN,NaN
-0.027866,0.207956,0.080086,-0.020299,0.232751,0.093265,-0.028261,0.203679,0.096053,NaN,NaN,NaN
-0.030451,0.206971,0.076962,-0.014974,0.236169,0.095923,-0.030589,0.205064,0.096061,NaN,NaN,NaN
-0.036301,0.211335,0.068459,-0.021592,0.231949,0.088215,-0.030226,0.209238,0.100144,NaN,NaN,NaN
-0.045512,0.214175,0.066294,-0.026621,0.231619,0.086954,-0.036874,0.208260,0.100171,NaN,NaN,NaN
